tile,RUBCNL,x,y,path,../models/res18/res18_ciga_freeze/Res18_ep_29.pt,../models/res18/RUBCNL_Res18_freeze/Res18_1000_ep_29.pt,../models/res18/RUBCNL_Res18_random/Res18_1000_ep_29.pt,../models/res18/RUBCNL_Res18_ciga/Res18_ep_29.pt,../models/res18/RUBCNL_Res18_ciga_drop/Res18Dropout_ep_29.pt,../models/res18/res18_iced_e29.pt,../models/res18/res18_not_iced_e29.pt,../models/res50/RUBCNL_HLR_Res50slim/15072024_ep_39_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50slim_ice/15072024_ep_39_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50slim_optim_ice/RUBCNL_HLR_Res50slim_optim_ice15072024_ep_26_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50_Drop/24072024_ep_29_lr_0.0005resnet.pt,../remote_models/res50/RUBCNL_Res50/MyNet2_ep_29.pt,../models/res50/RUBCNL_Res50_random/Res50_1000_ep_29.pt,../models/res50/RUBCNL_Res50_freeze/MyNet2_ep_29.pt,../models/res50/RUBCNL_Res50_drop_freeze/Res50Dropout_ep_29.pt,../models/vgg13/dropout/VGG13_Dropout_ep_29.pt,../models/vgg13/base_model/VGG13_ep_29.pt,../models/vgg13/random_weights/VGG13_ep_29.pt
p007_11_0.tiff,1.5980522772339400,1794,78,../../Training_Data/p007/Tiles_156/p007_11_0.tiff,0.8332880735397340,-0.7387293577194210,1.6239107847213700,1.8776087760925300,0.7444109916687010,1.2743775844574000,1.635428786277770,1.7351614236831700,0.6572889685630800,0.6741622686386110,-0.0178263913840055,1.5575261116027800,1.815418601036070,1.2617329359054600,0.0822362154722213,-0.2016344219446180,0.0267933346331119,-0.025943484157323800
p007_12_0.tiff,0.1904260424134580,1950,78,../../Training_Data/p007/Tiles_156/p007_12_0.tiff,-0.2257639914751050,-0.0517022237181663,-0.7535991072654720,0.2616055905818940,-0.3392282426357270,-0.229239746928215,0.0295253172516822,0.151499941945076,-0.4283098876476290,-0.5115148425102230,-0.2514482736587520,0.4604448676109310,-0.4258631467819210,-0.3363188505172730,-0.2379953414201740,-0.1865262985229490,0.0177140310406684,-0.016656309366226200
p007_13_0.tiff,1.255012659126360,2106,78,../../Training_Data/p007/Tiles_156/p007_13_0.tiff,-0.2867595851421360,-0.5507216453552250,0.1958663612604140,1.079490303993230,0.3384039998054500,0.0350350067019462,1.1984329223632800,1.3128422498703000,-0.262836217880249,-0.1254839897155760,-0.6245938539505010,1.278569221496580,1.010270595550540,-0.2941763699054720,-0.1939397901296620,-0.1435533612966540,0.0308045595884323,-0.023702532052993800
p007_14_0.tiff,1.255012659126360,2262,78,../../Training_Data/p007/Tiles_156/p007_14_0.tiff,0.0160929970443248,-0.7421813011169430,1.3048655986785900,1.6135566234588600,0.4715710580348970,0.7382080554962160,1.2824939489364600,1.2454540729522700,-0.0612753331661224,-0.1156625971198080,-0.0561646148562431,1.3638365268707300,1.0753711462020900,-0.0023437514901161,-0.1168529167771340,-0.1984100192785260,0.0174424089491367,-0.02678515389561650
p007_15_0.tiff,0.8129554678457500,2418,78,../../Training_Data/p007/Tiles_156/p007_15_0.tiff,0.5079198479652410,-0.5912421941757200,0.7726377844810490,1.1264493465423600,0.6791296005249020,0.5015369653701780,1.3865047693252600,0.8357442617416380,0.3228594064712520,0.2866519093513490,-0.2569907307624820,0.933125376701355,1.0795871019363400,0.9624742269515990,0.2757408618927000,0.1134812831878660,0.0261973459273576,-0.027348924428224600
p007_16_0.tiff,2.320909028699240,2574,78,../../Training_Data/p007/Tiles_156/p007_16_0.tiff,0.4461666643619540,-0.6681770086288450,1.1461468935012800,2.1061854362487800,0.7766106128692630,1.3556089401245100,2.6566967964172400,2.4663593769073500,0.8536807298660280,0.7240283489227300,-0.0700111761689186,2.4733405113220200,1.486308455467220,1.7042773962020900,0.4937816560268400,-0.0506081506609916,0.0245479624718427,-0.02312568575143810
p007_17_0.tiff,3.1819632445944800,2730,78,../../Training_Data/p007/Tiles_156/p007_17_0.tiff,1.0607801675796500,-0.7799944281578060,1.7416133880615200,3.7281219959259000,1.212121844291690,1.6699469089508100,2.975187301635740,3.4748525619506800,0.6431151628494260,0.5288742184638980,-0.4897439479827880,3.49552583694458,2.1455435752868700,0.8305310606956480,0.3174284696578980,-0.0633752420544624,0.0269533209502697,-0.013875391334295300
p007_18_0.tiff,3.387461926576520,2886,78,../../Training_Data/p007/Tiles_156/p007_18_0.tiff,1.0866334438324000,-0.9283163547515870,2.115499496459960,3.746175765991210,1.2831696271896400,1.907689332962040,3.863840103149410,3.7543694972991900,0.5401298403739930,0.5872684717178350,-0.1727204322814940,3.687196731567380,2.117149829864500,1.1709600687027000,0.3498394191265110,-0.0269119106233119,0.0225283280014991,-0.016041837632656100
p007_19_0.tiff,2.9447489411579200,3042,78,../../Training_Data/p007/Tiles_156/p007_19_0.tiff,1.7347204685211200,-0.8148815631866460,1.909908652305600,2.810403823852540,1.0172990560531600,1.566686749458310,2.851010322570800,3.3778514862060500,1.0665075778961200,1.0158061981201200,-0.3305084109306340,3.034263610839840,2.02123761177063,0.868482768535614,0.3352665305137630,-0.0115540642291307,0.021597858518362,-0.01177600771188740
p007_20_0.tiff,1.5980522772339400,3198,78,../../Training_Data/p007/Tiles_156/p007_20_0.tiff,0.2660272419452670,-0.5050739049911500,1.0285656452179000,1.8892791271209700,0.8175946474075320,1.054241418838500,1.6346924304962200,1.710675597190860,0.5455548763275150,0.5637826919555660,-0.1838347166776660,1.7439439296722400,0.9439077377319340,0.7224792838096620,0.2190060764551160,-0.0521615669131279,0.0201235879212617,-0.023444179445505100
